hostname	location	active	owned	provider	stboot	ipv4_addr_in	ipv4_in_aws	ipv4_score	include_in_country	weight	pubkey	ipv6_addr_in	ipv6_in_aws	ipv6_score	shadowsocks_addr_in	shadowsocks_in_aws	shadowsocks_score	daita	quic_addr_in	quic_in_aws	quic_score
ca-mtr-wg-306	ca-mtr	True	False	Tzulo	True	23.234.122.127	False	46	True	100	R4SOqKLtNuNSPg1L9/4mK56nahUN9uEFleuZorBXOjM=	2607:9000:f00:7::f001	False	None	23.234.122.130	False	None	False	23.234.122.130	False	None
co-bog-wg-001	co-bog	True	False	DataPacket	True	154.47.16.34	False	42	True	100	iaMa84nCHK+v4TnQH4h2rxkqwwxemORXM12VbJDRZSU=	2a02:6ea0:f101:1::f001	False	None	None	None	None	True	None	None	None
co-bog-wg-002	co-bog	True	False	DataPacket	True	154.47.16.47	False	42	True	100	IZDwbG9C/NrOOGVUrn+fDaPr8ZwD/yhvST7XWGk1ln8=	2a02:6ea0:f101:2::f001	False	None	None	None	None	False	None	None	None
ch-zrh-wg-401	ch-zrh	True	False	DataPacket	True	138.199.6.194	False	9	True	80	45ud3I5O6GmPXTrMJiqkiPMI/ubucDqzGaiq3CHJXk8=	2a02:6ea0:d406:1::a18f	False	None	None	None	None	True	None	None	None
ch-zrh-wg-404	ch-zrh	True	False	DataPacket	True	138.199.6.233	False	9	True	80	zfNQqDyPmSUY8+20wxACe/wpk4Q5jpZm5iBqjXj2hk8=	2a02:6ea0:d406:4::a21f	False	None	None	None	None	False	None	None	None
cl-scl-wg-002	cl-scl	True	False	DataPacket	True	149.88.104.15	False	42	True	100	rn9O+cXj0WQgZAkGCoYvvWgzaB5GcOaVfke3WKsp1Ro=	2a02:6ea0:fc02:3::f101	False	None	None	None	None	False	None	None	None
cz-prg-wg-101	cz-prg	True	False	M247	True	146.70.129.98	False	0	True	100	tWVga+pS/Ztrbx/L/PBlaWPGhkI3PCPBzbQlCeXWqn8=	2001:ac8:33:c::a01f	False	None	None	None	None	False	None	None	None
cz-prg-wg-201	cz-prg	True	False	DataPacket	True	178.249.209.162	False	30	True	100	5FZW+fNA2iVBSY99HFl+KjGc9AFVNE+UFAedLNhu8lc=	2a02:6ea0:c201:1::f001	False	None	None	None	None	False	None	None	None
ch-zrh-wg-002	ch-zrh	True	True	31173	True	193.32.127.67	False	14	True	1	qcvI02LwBnTb7aFrOyZSWvg4kb7zNW9/+rS6alnWyFE=	2a03:1b20:a:f011::f101	False	None	2a03:1b20:a:f011::b102	False	None	False	None	None	None
cy-nic-wg-002	cy-nic	True	False	HostRoyale	True	195.47.194.161	False	29	True	100	LOd1SY9YCHGiJUVT+XdYRdORu6ZMw4CqOKQBW2ElLg8=	2a06:3040:f:601::f101	False	None	195.47.194.163	False	None	False	None	None	None
ch-zrh-wg-202	ch-zrh	True	False	PrivateLayer	True	46.19.136.226	False	23	True	100	gSLSfY2zNFRczxHndeda258z+ayMvd7DqTlKYlKWJUo=	2a02:29b8:dc01:1831::f101	False	None	2a02:29b8:dc01:1831::b102	False	None	False	None	None	None
ca-tor-wg-203	ca-tor	True	False	Tzulo	True	23.234.85.2	False	0	True	100	kpXVJa66qgBFlwCmHx6siJT3R9afvtbjdDOTKkkbiUI=	2607:9000:600:33::f001	False	None	23.234.85.13	False	None	False	23.234.85.12	False	None
ch-zrh-wg-003	ch-zrh	True	True	31173	True	193.32.127.68	False	14	True	1	5Ms10UxGjCSzwImTrvEjcygsWY8AfMIdYyRvgFuTqH8=	2a03:1b20:a:f011::f201	False	None	2a03:1b20:a:f011::b202	False	None	False	None	None	None
